epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,489.146,0.01392,2.03168,2.16392,0.73684,0.2029,0.29846,0.1489,0.00897,111.858,1.36021,0.0677174,0.000326087,0.000326087
2,514.125,0.0126,1.38804,1.95041,0.6,0.30435,0.44199,0.20861,0.00847,87.1353,1.53233,0.0347172,0.000659258,0.000659258
3,535.728,0.01223,1.3117,1.94404,0.40421,0.52174,0.37943,0.15713,0.01003,30.5837,1.66939,0.00171641,0.000991774,0.000991774
4,559.22,0.01222,1.26133,1.94314,0.10636,0.24638,0.07159,0.01879,0.01175,48.3775,1.86849,0.000997781,0.000997781,0.000997781
5,584.473,0.01217,1.17203,1.94991,0.38543,0.53623,0.40827,0.15598,0.01065,4.52782,1.71388,0.000996058,0.000996058,0.000996058
6,605.466,0.01224,1.18242,1.98198,0.55387,0.34783,0.41323,0.20684,0.01009,21.405,1.61411,0.000993845,0.000993845,0.000993845
7,626.979,0.01132,1.10985,1.85259,0.47141,0.57971,0.53531,0.26982,0.01095,11.5032,1.77777,0.000991145,0.000991145,0.000991145
8,648.526,0.01137,1.09512,1.87304,0.44575,0.5942,0.45942,0.18265,0.01022,3.23659,1.66765,0.00098796,0.00098796,0.00098796
9,674.541,0.01128,1.06764,1.85341,0.74946,0.81159,0.8306,0.38154,0.00945,2.15757,1.51934,0.000984293,0.000984293,0.000984293
10,695.917,0.01096,1.1756,1.86087,0.56974,0.62319,0.62492,0.25832,0.00923,12.0477,1.52306,0.000980149,0.000980149,0.000980149
11,717.132,0.01063,0.98059,1.79305,0.76371,0.84318,0.84403,0.37918,0.00926,1.90301,1.47942,0.000975531,0.000975531,0.000975531
12,738.617,0.01107,0.95786,1.84842,0.78692,0.69565,0.81853,0.38366,0.00944,4.04093,1.4635,0.000970443,0.000970443,0.000970443
13,762.708,0.01043,0.90562,1.73899,0.72104,0.71176,0.78719,0.42173,0.00894,1.75934,1.41393,0.000964892,0.000964892,0.000964892
14,784.051,0.01069,0.98996,1.79282,0.57535,0.7971,0.72545,0.3228,0.00893,1.51328,1.42902,0.000958881,0.000958881,0.000958881
15,805.356,0.01036,0.91822,1.76865,0.70722,0.8402,0.75934,0.35167,0.00922,0.90204,1.47136,0.000952418,0.000952418,0.000952418
16,825.073,0.0106,0.93675,1.77011,0.78707,0.75002,0.82538,0.4366,0.00818,0.70177,1.38683,0.000945509,0.000945509,0.000945509
17,847.25,0.01013,0.86678,1.71967,0.68665,0.82609,0.82415,0.41214,0.00908,2.36873,1.50299,0.00093816,0.00093816,0.00093816
18,867.05,0.0101,0.88868,1.71515,0.75359,0.79781,0.84636,0.40063,0.00887,3.50156,1.44768,0.000930378,0.000930378,0.000930378
19,886.036,0.01015,0.86789,1.70578,0.80459,0.83548,0.86888,0.44416,0.00878,0.60081,1.39527,0.000922172,0.000922172,0.000922172
20,908.382,0.00992,0.84458,1.66581,0.717,0.91798,0.85686,0.47596,0.00835,1.0787,1.35105,0.000913549,0.000913549,0.000913549
21,926.757,0.00991,0.82083,1.69785,0.79766,0.84058,0.87195,0.4687,0.00792,1.45747,1.30006,0.000904518,0.000904518,0.000904518
22,948.878,0.01008,0.84484,1.72675,0.77393,0.81159,0.8299,0.41479,0.00889,0.96505,1.4267,0.000895088,0.000895088,0.000895088
23,968.356,0.00991,0.84731,1.6947,0.73922,0.82609,0.82483,0.44434,0.00823,1.21074,1.3621,0.000885268,0.000885268,0.000885268
24,987.377,0.01016,0.85712,1.70695,0.75992,0.87161,0.87785,0.45114,0.0087,0.97838,1.41713,0.000875068,0.000875068,0.000875068
25,1009.49,0.00952,0.86951,1.64876,0.7563,0.76812,0.82414,0.42274,0.0093,0.90853,1.48095,0.000864498,0.000864498,0.000864498
26,1028.48,0.0097,0.7897,1.65508,0.81551,0.76812,0.85614,0.45576,0.00869,1.23977,1.38722,0.000853568,0.000853568,0.000853568
27,1047.61,0.00959,0.76385,1.66835,0.74395,0.82609,0.87075,0.46858,0.00822,0.63295,1.27156,0.000842289,0.000842289,0.000842289
28,1069.74,0.00959,0.77831,1.64997,0.7584,0.89855,0.86411,0.40934,0.00892,0.49694,1.41445,0.000830673,0.000830673,0.000830673
29,1088.78,0.00945,0.79348,1.636,0.80131,0.82609,0.87023,0.49242,0.00791,0.46826,1.28081,0.00081873,0.00081873,0.00081873
30,1108.68,0.00942,0.81067,1.61862,0.82318,0.76812,0.85981,0.46972,0.00786,1.01198,1.30058,0.000806473,0.000806473,0.000806473
31,1130.78,0.0095,0.77775,1.66516,0.76357,0.85507,0.83541,0.45845,0.00845,2.09554,1.36335,0.000793913,0.000793913,0.000793913
32,1150.03,0.00962,0.78005,1.66132,0.79899,0.80652,0.84678,0.44223,0.00812,0.61331,1.30228,0.000781064,0.000781064,0.000781064
33,1169.33,0.00926,0.76304,1.61331,0.80699,0.78778,0.84563,0.46504,0.0084,0.89395,1.32132,0.000767937,0.000767937,0.000767937
34,1191.18,0.00926,0.7109,1.60794,0.75205,0.87921,0.85613,0.43616,0.00952,0.58485,1.48643,0.000754545,0.000754545,0.000754545
35,1210.23,0.00922,0.72344,1.61999,0.73663,0.81159,0.82054,0.45747,0.00832,0.46285,1.30236,0.000740903,0.000740903,0.000740903
36,1229.43,0.00938,0.74369,1.62221,0.85927,0.73913,0.85422,0.48034,0.00796,1.56134,1.31145,0.000727023,0.000727023,0.000727023
37,1248.61,0.00945,0.74631,1.59986,0.85463,0.85205,0.92873,0.53447,0.00789,0.38655,1.26327,0.000712918,0.000712918,0.000712918
38,1270.98,0.00915,0.67614,1.57401,0.74754,0.94414,0.90685,0.53253,0.00748,0.44871,1.24432,0.000698604,0.000698604,0.000698604
39,1290.31,0.0091,0.68433,1.6002,0.79524,0.95686,0.9239,0.53008,0.00748,0.39148,1.22556,0.000684094,0.000684094,0.000684094
40,1309.69,0.00882,0.68017,1.57927,0.79129,0.87921,0.8743,0.49272,0.0082,1.15345,1.32467,0.000669402,0.000669402,0.000669402
41,1331.71,0.00858,0.67295,1.54871,0.77955,0.91304,0.89051,0.48081,0.00845,0.5926,1.31908,0.000654543,0.000654543,0.000654543
42,1351.16,0.00905,0.64848,1.56363,0.80611,0.92754,0.91137,0.52005,0.00797,0.49525,1.26741,0.000639532,0.000639532,0.000639532
