epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,566.958,0.0143,1.88147,1.84414,0.29578,0.37624,0.24343,0.06829,0.01649,2.35406,1.91076,0.07921,0.00021,0.00021
2,586.119,0.01126,1.25637,1.44665,0.18782,0.4703,0.28029,0.12139,0.01445,29.7487,1.86965,0.0574299,0.000429894,0.000429894
3,600.264,0.01101,1.14217,1.43232,0.30935,0.62376,0.40768,0.12594,0.01587,11.3569,1.90462,0.0356494,0.000649359,0.000649359
4,613.799,0.01053,1.08053,1.37032,0.32407,0.62376,0.44679,0.15096,0.01483,6.85169,1.83033,0.0138681,0.00086807,0.00086807
5,626.977,0.01061,1.04344,1.38036,0.60056,0.4901,0.48799,0.15884,0.01575,1.87201,2.06715,0.000996058,0.000996058,0.000996058
6,639.464,0.01033,1.0185,1.35616,0.64689,0.62376,0.59745,0.22849,0.01484,1.54003,1.78029,0.000993845,0.000993845,0.000993845
7,652.911,0.0106,1.02843,1.40039,0.54787,0.5279,0.46674,0.17447,0.01537,2.03787,1.8409,0.000991145,0.000991145,0.000991145
8,664.678,0.01027,1.00997,1.35444,0.42311,0.61881,0.47134,0.14623,0.01601,1.93735,2.08862,0.00098796,0.00098796,0.00098796
9,677.267,0.01023,0.95843,1.36376,0.47434,0.50495,0.48291,0.17742,0.01426,1.89169,1.77706,0.000984293,0.000984293,0.000984293
10,690.027,0.01013,0.98366,1.35507,0.3953,0.57929,0.39888,0.14717,0.01462,1.86454,1.83577,0.000980149,0.000980149,0.000980149
11,701.204,0.00999,0.93525,1.34138,0.50257,0.46516,0.40889,0.14253,0.01597,1.14685,1.8762,0.000975531,0.000975531,0.000975531
12,718.443,0.01007,0.92607,1.3357,0.58818,0.50495,0.52968,0.24292,0.0138,1.25802,1.64805,0.000970443,0.000970443,0.000970443
13,730.595,0.00981,0.87121,1.31632,0.65142,0.72161,0.69295,0.27282,0.01393,0.92759,1.74111,0.000964892,0.000964892,0.000964892
14,743.605,0.01006,0.93398,1.34761,0.67123,0.64356,0.6413,0.22441,0.01564,0.89278,1.94691,0.000958881,0.000958881,0.000958881
15,754.702,0.00957,0.84694,1.28697,0.65434,0.76733,0.72405,0.27289,0.01494,0.8034,1.82761,0.000952418,0.000952418,0.000952418
16,769.111,0.00962,0.84606,1.29693,0.74787,0.6608,0.7366,0.30868,0.0145,0.83648,1.79597,0.000945509,0.000945509,0.000945509
17,780.993,0.00975,0.8729,1.31318,0.68886,0.60891,0.66604,0.24085,0.01567,0.90044,1.9417,0.00093816,0.00093816,0.00093816
18,794.649,0.00974,0.84824,1.31443,0.73803,0.63861,0.67649,0.28382,0.01404,0.96474,1.72683,0.000930378,0.000930378,0.000930378
19,807.977,0.00935,0.81702,1.28409,0.52793,0.5198,0.51612,0.21849,0.01355,1.60145,1.72099,0.000922172,0.000922172,0.000922172
20,819.749,0.00947,0.82164,1.29063,0.73461,0.71287,0.7335,0.28472,0.01487,0.80443,1.84471,0.000913549,0.000913549,0.000913549
21,832.608,0.00927,0.82666,1.26632,0.76565,0.69802,0.7443,0.28655,0.0153,0.73003,1.84632,0.000904518,0.000904518,0.000904518
22,845.288,0.00944,0.8203,1.28773,0.69379,0.62376,0.68885,0.27544,0.01365,0.88551,1.67073,0.000895088,0.000895088,0.000895088
23,861.36,0.00914,0.80589,1.25919,0.71407,0.67999,0.69726,0.25576,0.01566,1.01237,1.92048,0.000885268,0.000885268,0.000885268
24,890.003,0.00914,0.7903,1.28511,0.70017,0.68317,0.73254,0.27652,0.01517,0.87701,1.8098,0.000875068,0.000875068,0.000875068
25,903.076,0.00894,0.76392,1.2486,0.65824,0.75743,0.74224,0.25875,0.01576,0.86038,1.95536,0.000864498,0.000864498,0.000864498
26,916.022,0.00868,0.75185,1.24066,0.72215,0.72277,0.74193,0.29516,0.01454,0.82081,1.79208,0.000853568,0.000853568,0.000853568
27,928.169,0.00912,0.81695,1.2687,0.73001,0.72277,0.75268,0.27209,0.01434,0.97062,1.73131,0.000842289,0.000842289,0.000842289
28,939.374,0.00904,0.77531,1.25827,0.76938,0.70297,0.75873,0.28065,0.01484,0.83804,1.83924,0.000830673,0.000830673,0.000830673
29,951.761,0.00899,0.75629,1.26243,0.82204,0.79208,0.84524,0.32407,0.01481,0.75241,1.81582,0.00081873,0.00081873,0.00081873
30,965.192,0.00871,0.75817,1.24909,0.82758,0.73762,0.80496,0.29863,0.01495,0.77899,1.82031,0.000806473,0.000806473,0.000806473
31,976.085,0.00863,0.7338,1.22527,0.71923,0.72772,0.69928,0.23083,0.01643,0.78503,2.0199,0.000793913,0.000793913,0.000793913
32,989.008,0.00874,0.74046,1.21479,0.67322,0.64252,0.66512,0.21842,0.01698,0.85394,2.16512,0.000781064,0.000781064,0.000781064
33,1005.5,0.00872,0.74509,1.24649,0.75492,0.70297,0.73559,0.31249,0.01419,0.80873,1.73969,0.000767937,0.000767937,0.000767937
34,1036.64,0.0088,0.73725,1.24515,0.79451,0.73762,0.77125,0.34029,0.01398,0.93069,1.71567,0.000754545,0.000754545,0.000754545
35,1058.75,0.00839,0.70814,1.20735,0.78612,0.68812,0.71693,0.25399,0.01624,0.8138,1.99706,0.000740903,0.000740903,0.000740903
36,1074.59,0.00861,0.72311,1.24788,0.68751,0.74062,0.77079,0.30699,0.01444,0.81239,1.77988,0.000727023,0.000727023,0.000727023
37,1087.67,0.00823,0.70032,1.21302,0.7298,0.76217,0.77839,0.37267,0.01234,0.86773,1.56215,0.000712918,0.000712918,0.000712918
38,1099.76,0.00849,0.71066,1.22935,0.81181,0.79017,0.84929,0.37229,0.01324,0.69068,1.66226,0.000698604,0.000698604,0.000698604
39,1113.28,0.00814,0.66172,1.19357,0.8054,0.76238,0.81502,0.33389,0.01382,0.75146,1.7166,0.000684094,0.000684094,0.000684094
40,1125.29,0.00836,0.70203,1.21749,0.72472,0.70297,0.73713,0.30086,0.01379,0.86242,1.74821,0.000669402,0.000669402,0.000669402
41,1139.43,0.00832,0.70261,1.21379,0.72785,0.71287,0.76131,0.322,0.01363,0.923,1.72509,0.000654543,0.000654543,0.000654543
42,1152.1,0.0084,0.6961,1.20816,0.74314,0.68812,0.75682,0.29252,0.01476,0.79746,1.9304,0.000639532,0.000639532,0.000639532
43,1165.27,0.00775,0.6353,1.15952,0.73754,0.66832,0.76958,0.35641,0.01285,0.89498,1.64039,0.000624383,0.000624383,0.000624383
44,1184.87,0.00782,0.6333,1.17396,0.65264,0.68812,0.71636,0.35162,0.01136,0.85621,1.50378,0.000609111,0.000609111,0.000609111
45,1213.67,0.00804,0.65354,1.19221,0.83001,0.75743,0.85442,0.39403,0.01229,0.75876,1.54523,0.000593731,0.000593731,0.000593731
