epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4116,1.8845,4.10969,1.74815,0.65008,0.21548,0.33871,0.1422,1.69829,6.98217,1.59468,0.000657534,0.000657534,0.000657534
2,23.1319,1.69724,3.03841,1.61181,0.57134,0.3671,0.4381,0.2242,1.80464,16.025,1.56252,0.00129798,0.00129798,0.00129798
3,30.6634,1.67866,2.59172,1.56516,0.44238,0.27536,0.25007,0.10571,2.40942,13.9243,2.2452,0.00191203,0.00191203,0.00191203
4,40.8123,1.71916,2.47377,1.57837,0.5468,0.55072,0.52833,0.27332,1.65737,8.82816,1.48475,0.0018812,0.0018812,0.0018812
5,52.0692,1.71893,2.19349,1.57402,0.70706,0.4058,0.52432,0.27278,1.78583,2.69366,1.47024,0.0018416,0.0018416,0.0018416
6,59.9046,1.64849,1.90841,1.53488,0.67685,0.56522,0.6727,0.35132,1.47191,2.19452,1.31829,0.001802,0.001802,0.001802
7,70.2738,1.5982,1.78472,1.50528,0.55652,0.56522,0.55298,0.30014,1.58264,5.77502,1.29686,0.0017624,0.0017624,0.0017624
8,80.9259,1.54944,1.77413,1.47501,0.58299,0.66864,0.65722,0.352,1.44662,5.07966,1.4908,0.0017228,0.0017228,0.0017228
9,88.6901,1.54429,1.763,1.48817,0.64625,0.60895,0.66299,0.32296,1.6837,2.76533,1.48684,0.0016832,0.0016832,0.0016832
10,98.872,1.48014,1.63042,1.43499,0.78621,0.71014,0.78776,0.44015,1.59566,2.9599,1.45023,0.0016436,0.0016436,0.0016436
11,109.191,1.46652,1.55133,1.40921,0.65863,0.72464,0.75228,0.44159,1.51114,2.1182,1.33845,0.001604,0.001604,0.001604
12,117.193,1.44735,1.40436,1.41251,0.78354,0.73449,0.83311,0.50567,1.6764,1.32938,1.36796,0.0015644,0.0015644,0.0015644
13,127.491,1.44545,1.41955,1.41515,0.79657,0.79452,0.84412,0.50838,1.56125,1.68041,1.35716,0.0015248,0.0015248,0.0015248
